id;titulo;juez;alias;dificultad;tema_1;tema_2;tema_3;tema_4;url
48;Pole Position;UVA;12150;6;Data structures;Exceptions;Simulation;;https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=3302
49;Brick Wall Patterns;UVA;900;6;Math;Fuerza Bruta;Optimización;;https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=841
50;Emoticon;SPOJ;BLKEK;6;String;;;;https://www.spoj.com/problems/BLKEK/en/
51;BALLSUM;SPOJ;Ball sum;7;Math;Probabilidad;;;https://www.spoj.com/problems/BALLSUM/en/
52;Where is the Marble?;UVA;10474;7;Search;Quick Sort;Jump Search;;https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=1415
53;Buying a New String;Codechef;TWOSTRS;7;String;;;;https://www.codechef.com/problems/TWOSTRS
54;Music & Lyrics;Codechef;LYRC;8;String;;;;https://www.codechef.com/problems/LYRC
55;TEX Quotes;UVA;272;8;Strings ;Simulation;;;https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=4&page=show_problem&problem=208
56;Aggressive cows;SPOJ;AGGRCOW;9;Binary_search;;;;https://www.spoj.com/problems/AGGRCOW/en/
57;The Settlers of Catan;UVA ;539;10;Grafo;Dijkstra;Inverse Dijkstra;DFS;https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=480
58;Audiophobia;Uva;10048;10;Graph;Floyd Warshall;;;https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=989
59;Wormholes;UVA;558;10;Graph;Bellman-Ford;DFS;BFS;https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=499
60;All-star Three-point Contest;UVA;13293;10;Strings;Sorting;Lexicographical;;https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=5217
61;Shortest Path;Codechef;HW3G;11;Grafo;DFS;;;https://www.codechef.com/problems/HW3G
62;Save Patient;CodeChef;PAC6;11;Graph;Dijkstra;;;https://www.codechef.com/problems/PAC6
63;Travelling Salesman;UVA;10702;12;Graph;Hamiltonian;DFS;;https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=1643
64;Almost Shortest Path;UVA;12144;15;Graph;Dijkstra;Tree;DP;https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=3296
65;;;;;;;;;
66;;;;;;;;;
67;;;;;;;;;
68;;;;;;;;;
69;;;;;;;;;
70;;;;;;;;;
71;;;;;;;;;
72;;;;;;;;;
73;;;;;;;;;
74;;;;;;;;;
75;;;;;;;;;
76;;;;;;;;;
77;;;;;;;;;
78;;;;;;;;;
79;;;;;;;;;
80;;;;;;;;;
81;;;;;;;;;
82;;;;;;;;;
83;;;;;;;;;
84;;;;;;;;;
85;;;;;;;;;
86;;;;;;;;;
87;;;;;;;;;
88;;;;;;;;;
89;;;;;;;;;
90;;;;;;;;;
91;;;;;;;;;
92;;;;;;;;;
93;;;;;;;;;
94;;;;;;;;;
95;;;;;;;;;
96;;;;;;;;;
97;;;;;;;;;
98;;;;;;;;;
99;;;;;;;;;
100;;;;;;;;;
101;;;;;;;;;
102;;;;;;;;;
103;;;;;;;;;
104;;;;;;;;;
105;;;;;;;;;
106;;;;;;;;;
107;;;;;;;;;
108;;;;;;;;;
109;;;;;;;;;
110;;;;;;;;;
111;;;;;;;;;
112;;;;;;;;;
113;;;;;;;;;
114;;;;;;;;;
115;;;;;;;;;
116;;;;;;;;;
117;;;;;;;;;
118;;;;;;;;;
119;;;;;;;;;
120;;;;;;;;;
121;;;;;;;;;
122;;;;;;;;;
123;;;;;;;;;
124;;;;;;;;;
125;;;;;;;;;
126;;;;;;;;;
127;;;;;;;;;
128;;;;;;;;;
129;;;;;;;;;
130;;;;;;;;;
131;;;;;;;;;
132;;;;;;;;;
133;;;;;;;;;
134;;;;;;;;;
135;;;;;;;;;
136;;;;;;;;;
137;;;;;;;;;
138;;;;;;;;;
139;;;;;;;;;
140;;;;;;;;;
141;;;;;;;;;
142;;;;;;;;;
143;;;;;;;;;
144;;;;;;;;;
145;;;;;;;;;
146;;;;;;;;;
147;;;;;;;;;
148;;;;;;;;;
149;;;;;;;;;
150;;;;;;;;;
151;;;;;;;;;
152;;;;;;;;;
153;;;;;;;;;
154;;;;;;;;;
155;;;;;;;;;
156;;;;;;;;;
157;;;;;;;;;
158;;;;;;;;;
159;;;;;;;;;
160;;;;;;;;;
161;;;;;;;;;
162;;;;;;;;;
163;;;;;;;;;
164;;;;;;;;;
165;;;;;;;;;
166;;;;;;;;;
167;;;;;;;;;
168;;;;;;;;;
169;;;;;;;;;
170;;;;;;;;;
171;;;;;;;;;
172;;;;;;;;;
173;;;;;;;;;
174;;;;;;;;;
175;;;;;;;;;
176;;;;;;;;;
177;;;;;;;;;
178;;;;;;;;;
179;;;;;;;;;
180;;;;;;;;;
181;;;;;;;;;
182;;;;;;;;;
183;;;;;;;;;
184;;;;;;;;;
185;;;;;;;;;
186;;;;;;;;;
187;;;;;;;;;
188;;;;;;;;;
189;;;;;;;;;
190;;;;;;;;;
191;;;;;;;;;
192;;;;;;;;;
193;;;;;;;;;
194;;;;;;;;;
195;;;;;;;;;
196;;;;;;;;;
197;;;;;;;;;
